name	kind	ident	code_rva	shared
kRvaSiGetSkillLevel	hash	b00a77c70d719e7343f8e8e344cc0a8f0c1362925db6dae3b78834f9a06d9c9	0x1619760	0
kRvaConnectLoginStart	hash	eabd0939b86940c246ebabbdd8c2cc7859574f5ffd4da81557b0881b1a90650	0xC4BE30	0
kRvaCloseDialog	hash	e3af9a0d71b5259aec10c8cf883a6340ca3823afb5bd990956493fdf8ea086b	0x7AAEE0	0
kRvaNotice	hash	ecd6c59cedf95e9988c2bb3314e9e82649e70f3f6e63103470c0bfe35d9bd02	0x77D4B0	0
kRvaYesNo	hash	b34ff89ae3af5496cae585cb664a3cd3e0f8ba03807834b52b1769312fa6ab0	0x779010	0
kRvaAltDlgOpen	hash	d7d395aee11ad911d08b59126b3a0a84cac94e430f3525f38c7f8ea9964bc7f	0x7B1E90	0
kRvaUpdateView	hash	d98a5cb0a2cdc54271c0377c9465a47676adefec5cf50eddc15e7c4216659e7	0x81A3C0	0
kRvaOnPointerDown	plain	e66f21833e58979f256bc839f6f099e4cbcb6dad9f05c45c79efba7e9f11e43::OnPointerDown	0x81CCC0	0
kRvaLabelBind	hash	e9632acf9184eccb6e06f8aad15ca932c85b1b87c884aa95b7432711652cf2c	0x81B180	0
kRvaLabelClick	plain	c181b55af50a95cd415fc1aaab9bc419b1da70f362aa6f78f7df74958cd673f::OnPointerClick	0x81CEA0	0
kRvaExecutePointerDown	plain	UnityEngine.EventSystems.ExecuteEvents::Execute	0x5389D50	1
kRvaFindObjectsOfTypeAll	plain	UnityEngine.Resources::FindObjectsOfTypeAll	0x4F5BCC0	0
kRvaCompGetGo	plain	UnityEngine.Component::get_gameObject	0x4F640A0	0
kRvaObjGetName	plain	UnityEngine.Object::get_name	0x4F71000	0
